seqnames	start	end	width	strand	direction	context	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	pValue	regionType	chr	comparison
SL4.0ch01	1293854	1293908	55	*	-1	CG	35	41	0.8536585365853658	7	57	0.12280701754385964	4	6.125094776420981e-12	loss	ch01	NTS
SL4.0ch01	1309633	1309691	59	*	1	CG	0	43	0	40	58	0.6896551724137931	6	2.3217906224523428e-11	gain	ch01	NTS
SL4.0ch01	1316045	1316125	81	*	-1	CG	35	40	0.875	16	67	0.23880597014925373	4	1.0371428449234868e-9	loss	ch01	NTS
SL4.0ch01	1386178	1386266	89	*	-1	CG	71	73	0.9726027397260274	0	71	0	6	3.2044523252638374e-29	loss	ch01	NTS
SL4.0ch01	1401716	1401802	87	*	-1	CG	61	65	0.9384615384615383	20	70	0.2857142857142857	8	1.5957215624897418e-13	loss	ch01	NTS
SL4.0ch01	1472202	1472392	191	*	1	CG	1	18	0.05555555555555555	36	47	0.7659574468085106	4	4.858147611052141e-7	gain	ch01	NTS
SL4.0ch01	1485817	1485899	83	*	-1	CG	15	18	0.8333333333333334	8	64	0.125	4	1.2819403220806911e-8	loss	ch01	NTS
SL4.0ch01	1490871	1490951	81	*	1	CG	10	23	0.43478260869565216	32	32	1	4	2.000844032365878e-6	gain	ch01	NTS
SL4.0ch01	1505261	1505340	80	*	-1	CG	51	53	0.9622641509433962	25	95	0.2631578947368421	6	6.963118838422865e-15	loss	ch01	NTS
SL4.0ch01	1565654	1565796	143	*	-1	CG	60	72	0.8333333333333334	11	58	0.1896551724137931	6	2.792909915089471e-12	loss	ch01	NTS
SL4.0ch01	1585011	1585421	411	*	-1	CG	209	248	0.842741935483871	62	304	0.20394736842105263	26	1.5464574656852416e-47	loss	ch01	NTS
SL4.0ch01	1590572	1590707	136	*	-1	CG	30	32	0.9375	11	36	0.3055555555555556	4	2.5023676218382426e-7	loss	ch01	NTS
SL4.0ch01	1590962	1591174	213	*	-1	CG	71	75	0.9466666666666668	11	78	0.14102564102564102	12	1.1157335343996987e-21	loss	ch01	NTS
SL4.0ch01	1611147	1611228	82	*	-1	CG	51	75	0.68	12	98	0.12244897959183672	8	5.927121583457726e-13	loss	ch01	NTS
SL4.0ch01	1618558	1618678	121	*	-1	CG	34	42	0.8095238095238095	0	69	0	4	1.0061483331305671e-17	loss	ch01	NTS
SL4.0ch01	1632484	1632712	229	*	-1	CG	56	80	0.7	0	137	0	10	9.249915356115184e-28	loss	ch01	NTS
SL4.0ch01	1643719	1643779	61	*	1	CG	2	30	0.06666666666666667	83	93	0.8924731182795699	6	4.393889797231722e-16	gain	ch01	NTS
SL4.0ch01	1644311	1644526	216	*	1	CG	8	83	0.0963855421686747	100	126	0.7936507936507936	10	3.439032750447358e-21	gain	ch01	NTS
SL4.0ch01	1674332	1674391	60	*	-1	CG	33	34	0.9705882352941176	0	38	0	4	3.4026895718735468e-15	loss	ch01	NTS
SL4.0ch01	1745056	1745168	113	*	-1	CG	89	105	0.8476190476190476	12	157	0.07643312101910828	8	9.430872164651749e-34	loss	ch01	NTS
SL4.0ch01	1782594	1782655	62	*	1	CG	5	50	0.1	35	38	0.9210526315789472	4	2.715970166430318e-13	gain	ch01	NTS
SL4.0ch01	1789300	1789393	94	*	-1	CG	24	25	0.96	0	27	0	6	3.6028578170862056e-11	loss	ch01	NTS
SL4.0ch01	1841660	1841750	91	*	-1	CG	22	24	0.9166666666666666	6	38	0.15789473684210523	4	1.779509699920135e-8	loss	ch01	NTS
SL4.0ch01	1872943	1873123	181	*	-1	CG	68	78	0.8717948717948718	32	122	0.26229508196721313	8	1.001911092572736e-15	loss	ch01	NTS
SL4.0ch01	1917980	1918070	91	*	-1	CG	20	27	0.7407407407407407	6	56	0.10714285714285714	4	1.9350068289923224e-8	loss	ch01	NTS
SL4.0ch01	2015449	2015551	103	*	-1	CG	83	90	0.9222222222222224	4	67	0.05970149253731343	6	5.945494795490671e-25	loss	ch01	NTS
SL4.0ch01	2038646	2038741	96	*	1	CG	0	23	0	44	61	0.7213114754098361	4	1.3350899481643209e-8	gain	ch01	NTS
SL4.0ch01	2114001	2114101	101	*	1	CG	20	62	0.3225806451612903	56	57	0.9824561403508772	6	9.504709662967683e-13	gain	ch01	NTS
SL4.0ch01	2124595	2124709	115	*	-1	CG	47	48	0.9791666666666666	9	44	0.20454545454545456	6	4.0769820550164706e-13	loss	ch01	NTS
SL4.0ch01	2149588	2149747	160	*	-1	CG	79	82	0.9634146341463414	41	140	0.29285714285714287	12	2.0464806712465038e-20	loss	ch01	NTS
SL4.0ch01	2163233	2163383	151	*	-1	CG	51	52	0.9807692307692308	0	46	0	4	1.672948169351995e-20	loss	ch01	NTS
SL4.0ch01	2184768	2184865	98	*	-1	CG	31	37	0.8378378378378378	13	54	0.24074074074074073	4	6.306583622951573e-8	loss	ch01	NTS
SL4.0ch01	2228000	2228072	73	*	-1	CG	46	46	1	17	37	0.4594594594594595	4	3.367795622270544e-8	loss	ch01	NTS
SL4.0ch01	2241847	2241993	147	*	-1	CG	30	35	0.8571428571428571	5	45	0.1111111111111111	6	1.82154592240323e-10	loss	ch01	NTS
SL4.0ch01	2320238	2320414	177	*	-1	CG	41	41	1	7	72	0.09722222222222222	6	4.341965404363715e-19	loss	ch01	NTS
SL4.0ch01	2420467	2420524	58	*	-1	CG	31	33	0.9393939393939394	0	36	0	4	7.716952135163451e-14	loss	ch01	NTS
SL4.0ch01	2484688	2484809	122	*	-1	CG	29	36	0.8055555555555556	2	38	0.05263157894736842	4	3.5366019789264816e-10	loss	ch01	NTS
SL4.0ch01	2524187	2524420	234	*	-1	CG	102	133	0.7669172932330827	35	134	0.26119402985074625	12	3.032652880140024e-15	loss	ch01	NTS
SL4.0ch01	2589273	2589326	54	*	-1	CG	46	47	0.9787234042553192	6	44	0.13636363636363635	4	9.756579867647893e-15	loss	ch01	NTS
SL4.0ch01	2594488	2594633	146	*	-1	CG	41	42	0.9761904761904762	1	67	0.01492537313432835	4	7.144801668213484e-22	loss	ch01	NTS
SL4.0ch01	2619993	2620132	140	*	-1	CG	61	71	0.8591549295774648	26	149	0.174496644295302	10	1.51430510669807e-20	loss	ch01	NTS
SL4.0ch01	2657143	2657323	181	*	-1	CG	24	27	0.8888888888888888	3	44	0.06818181818181818	4	4.1228105693143194e-11	loss	ch01	NTS
SL4.0ch01	2661279	2661351	73	*	-1	CG	77	78	0.9871794871794872	10	83	0.12048192771084336	6	3.5357240376479936e-26	loss	ch01	NTS
SL4.0ch01	2678957	2679145	189	*	-1	CG	57	72	0.7916666666666666	6	102	0.0588235294117647	8	2.4396444654527656e-21	loss	ch01	NTS
SL4.0ch01	2766037	2766315	279	*	-1	CG	38	46	0.8260869565217391	1	52	0.01923076923076923	6	7.775306522374773e-15	loss	ch01	NTS
SL4.0ch01	2768404	2768524	121	*	-1	CG	40	44	0.9090909090909092	0	81	0	6	1.9758838183959315e-23	loss	ch01	NTS
SL4.0ch01	2769251	2769470	220	*	-1	CG	85	88	0.9659090909090908	0	105	0	10	1.2352219836286356e-38	loss	ch01	NTS
SL4.0ch01	2777215	2777414	200	*	-1	CG	54	79	0.6835443037974683	5	137	0.0364963503649635	12	6.834864391103865e-23	loss	ch01	NTS
SL4.0ch01	2820718	2820845	128	*	-1	CG	18	31	0.5806451612903226	1	43	0.02325581395348837	4	1.550424817354957e-7	loss	ch01	NTS
SL4.0ch01	2824579	2824684	106	*	-1	CG	18	25	0.72	0	39	0	4	2.0845859673932344e-9	loss	ch01	NTS
SL4.0ch01	2831447	2831756	310	*	-1	CG	45	48	0.9375	28	77	0.3636363636363637	6	1.3316165639829815e-9	loss	ch01	NTS
SL4.0ch01	2854038	2854122	85	*	-1	CG	38	40	0.95	2	40	0.05	4	1.5886129288793112e-14	loss	ch01	NTS
SL4.0ch01	2856286	2856367	82	*	-1	CG	12	16	0.75	6	52	0.1153846153846154	4	9.497427197222212e-7	loss	ch01	NTS
SL4.0ch01	2883800	2883952	153	*	-1	CG	92	98	0.9387755102040816	27	131	0.20610687022900764	12	5.845529070319334e-26	loss	ch01	NTS
SL4.0ch01	2955809	2955893	85	*	1	CG	8	42	0.1904761904761905	57	57	1	4	1.2209351444486181e-15	gain	ch01	NTS
SL4.0ch01	2989792	2989841	50	*	-1	CG	30	45	0.6666666666666666	0	38	0	4	1.5907472622784031e-9	loss	ch01	NTS
SL4.0ch01	2990219	2990296	78	*	-1	CG	31	53	0.5849056603773585	1	63	0.01587301587301587	4	7.022730162107441e-11	loss	ch01	NTS
SL4.0ch01	3027355	3027485	131	*	1	CG	13	52	0.25	41	42	0.9761904761904762	4	1.4617517980322128e-11	gain	ch01	NTS
SL4.0ch01	3035255	3035352	98	*	-1	CG	13	21	0.6190476190476191	3	52	0.05769230769230769	4	3.443196764889455e-7	loss	ch01	NTS
SL4.0ch01	3139114	3139277	164	*	-1	CG	94	110	0.8545454545454545	19	143	0.13286713286713286	8	3.95408675658085e-28	loss	ch01	NTS
SL4.0ch01	3148610	3148730	121	*	-1	CG	43	45	0.9555555555555556	31	95	0.3263157894736842	6	3.0221699459180216e-11	loss	ch01	NTS
SL4.0ch01	3208335	3208433	99	*	-1	CG	42	58	0.7241379310344828	2	77	0.02597402597402597	6	2.8453352656813416e-16	loss	ch01	NTS
SL4.0ch01	3210759	3210835	77	*	-1	CG	23	37	0.6216216216216216	1	49	0.02040816326530612	4	3.492720920849479e-9	loss	ch01	NTS
SL4.0ch01	3294651	3294746	96	*	1	CG	2	27	0.07407407407407407	54	61	0.8852459016393442	4	3.4897180189291125e-12	gain	ch01	NTS
SL4.0ch01	3455069	3455227	159	*	-1	CG	81	82	0.9878048780487804	21	194	0.10824742268041238	10	8.702727249728472e-41	loss	ch01	NTS
SL4.0ch01	3459295	3459399	105	*	-1	CG	53	71	0.7464788732394366	2	76	0.02631578947368421	6	6.94406819594731e-18	loss	ch01	NTS
SL4.0ch01	3459769	3459905	137	*	-1	CG	26	29	0.896551724137931	2	38	0.05263157894736842	4	3.5788641010597835e-11	loss	ch01	NTS
SL4.0ch01	3484148	3484352	205	*	1	CG	6	60	0.1	123	128	0.9609375	8	3.90579025154806e-30	gain	ch01	NTS
SL4.0ch01	3487655	3487746	92	*	-1	CG	24	24	1	16	52	0.3076923076923077	4	5.717084700301318e-8	loss	ch01	NTS
SL4.0ch01	3558197	3558289	93	*	-1	CG	25	26	0.9615384615384616	1	39	0.02564102564102564	4	6.211150862525572e-13	loss	ch01	NTS
SL4.0ch01	3585783	3585927	145	*	-1	CG	13	18	0.7222222222222222	1	32	0.03125	4	3.889481561556705e-7	loss	ch01	NTS
SL4.0ch01	3606202	3606252	51	*	1	CG	0	19	0	34	35	0.9714285714285714	4	1.651620555040382e-11	gain	ch01	NTS
SL4.0ch01	3606903	3606984	82	*	-1	CG	32	36	0.8888888888888888	3	49	0.06122448979591836	4	2.732068206553456e-13	loss	ch01	NTS
SL4.0ch01	3616055	3616105	51	*	-1	CG	40	43	0.9302325581395348	14	75	0.18666666666666668	4	9.847692290780665e-14	loss	ch01	NTS
SL4.0ch01	3649345	3649479	135	*	-1	CG	37	45	0.8222222222222222	6	106	0.05660377358490566	8	7.215031038795163e-20	loss	ch01	NTS
SL4.0ch01	3664072	3664186	115	*	-1	CG	55	55	1	7	70	0.1	6	1.1083275489482875e-21	loss	ch01	NTS
SL4.0ch01	3770103	3770200	98	*	-1	CG	64	83	0.7710843373493976	8	88	0.09090909090909093	8	7.79517088333624e-18	loss	ch01	NTS
SL4.0ch01	3773246	3773431	186	*	1	CG	9	165	0.05454545454545454	139	188	0.7393617021276596	16	3.919912371982238e-36	gain	ch01	NTS
SL4.0ch01	3802109	3802193	85	*	1	CG	0	35	0	30	35	0.8571428571428571	4	4.880584949139911e-12	gain	ch01	NTS
SL4.0ch01	3845785	3845858	74	*	1	CG	9	36	0.25	37	38	0.9736842105263158	4	8.250046764658403e-10	gain	ch01	NTS
SL4.0ch01	3861814	3861896	83	*	1	CG	1	38	0.02631578947368421	39	69	0.5652173913043478	4	9.592403860308904e-8	gain	ch01	NTS
SL4.0ch01	3863714	3863904	191	*	-1	CG	104	123	0.8455284552845529	14	131	0.1068702290076336	10	7.877142273756059e-30	loss	ch01	NTS
SL4.0ch01	3973684	3973764	81	*	1	CG	0	31	0	49	57	0.8596491228070176	4	1.3895332797768378e-13	gain	ch01	NTS
SL4.0ch01	4009066	4009166	101	*	1	CG	0	55	0	46	52	0.8846153846153846	4	1.0146797555003018e-18	gain	ch01	NTS
SL4.0ch01	4115894	4116083	190	*	-1	CG	41	53	0.7735849056603774	2	72	0.02777777777777777	6	1.2065006435446734e-16	loss	ch01	NTS
SL4.0ch01	4168994	4169120	127	*	-1	CG	23	24	0.9583333333333334	6	31	0.1935483870967742	4	5.2857669417159094e-8	loss	ch01	NTS
SL4.0ch01	4200277	4200375	99	*	1	CG	0	35	0	60	70	0.8571428571428571	6	1.3909063305438433e-15	gain	ch01	NTS
SL4.0ch01	4301647	4301793	147	*	-1	CG	69	71	0.971830985915493	23	75	0.30666666666666664	6	1.993405793879833e-15	loss	ch01	NTS
SL4.0ch01	4311873	4311923	51	*	-1	CG	29	36	0.8055555555555556	0	41	0	4	3.8864679023478024e-12	loss	ch01	NTS
SL4.0ch01	4416776	4416888	113	*	-1	CG	35	44	0.7954545454545454	1	61	0.01639344262295082	4	2.367911415804874e-15	loss	ch01	NTS
SL4.0ch01	4434465	4434635	171	*	1	CG	5	49	0.1020408163265306	72	75	0.96	6	3.1606079236786197e-20	gain	ch01	NTS
SL4.0ch01	4471034	4471192	159	*	-1	CG	29	36	0.8055555555555556	1	79	0.01265822784810126	6	9.552394208570495e-18	loss	ch01	NTS
SL4.0ch01	4504987	4505043	57	*	-1	CG	28	28	1	3	37	0.08108108108108109	4	2.479984566110152e-12	loss	ch01	NTS
SL4.0ch01	4535746	4535840	95	*	1	CG	5	30	0.16666666666666666	27	36	0.75	4	3.8094945269302217e-6	gain	ch01	NTS
SL4.0ch01	4558300	4558372	73	*	-1	CG	28	28	1	0	42	0	4	1.3909063305438433e-15	loss	ch01	NTS
SL4.0ch01	4573534	4573691	158	*	-1	CG	55	76	0.7236842105263158	4	119	0.03361344537815126	8	1.102358651674967e-22	loss	ch01	NTS
SL4.0ch01	4646837	4647005	169	*	-1	CG	24	28	0.8571428571428571	0	42	0	4	1.6910598714974842e-12	loss	ch01	NTS
SL4.0ch01	4710509	4710807	299	*	-1	CG	30	37	0.8108108108108109	6	36	0.16666666666666666	4	1.0099530043950113e-7	loss	ch01	NTS
SL4.0ch01	4824121	4824337	217	*	-1	CG	24	26	0.9230769230769232	9	63	0.14285714285714285	4	3.789681878999313e-11	loss	ch01	NTS
SL4.0ch01	4834815	4834904	90	*	-1	CG	27	33	0.8181818181818182	2	77	0.02597402597402597	4	1.572641607919486e-16	loss	ch01	NTS
SL4.0ch01	4835404	4835492	89	*	1	CG	0	42	0	50	61	0.819672131147541	4	5.9278703303255666e-15	gain	ch01	NTS
SL4.0ch01	4840918	4841060	143	*	1	CG	6	33	0.18181818181818185	28	31	0.9032258064516128	4	2.5288699198921352e-8	gain	ch01	NTS
SL4.0ch01	4843052	4843117	66	*	1	CG	28	83	0.3373493975903614	81	92	0.8804347826086957	6	1.6884207303029158e-12	gain	ch01	NTS
SL4.0ch01	4845134	4845299	166	*	1	CG	0	79	0	62	103	0.6019417475728155	8	5.127934868905191e-16	gain	ch01	NTS
SL4.0ch01	4918991	4919057	67	*	-1	CG	24	24	1	16	46	0.34782608695652173	4	3.698181194288922e-7	loss	ch01	NTS
SL4.0ch01	4963425	4963496	72	*	-1	CG	53	67	0.7910447761194029	0	29	0	5	8.838357360335456e-12	loss	ch01	NTS
SL4.0ch01	4964070	4964139	70	*	-1	CG	32	32	1	0	35	0	4	5.671815562134686e-15	loss	ch01	NTS
SL4.0ch01	4964389	4964461	73	*	-1	CG	25	26	0.9615384615384616	2	41	0.04878048780487805	4	1.4696094801900377e-12	loss	ch01	NTS
SL4.0ch01	4964871	4965068	198	*	-1	CG	74	105	0.7047619047619048	1	124	0.00806451612903225	14	6.1756845181988415e-27	loss	ch01	NTS
SL4.0ch01	5217532	5217630	99	*	1	CG	0	71	0	92	104	0.8846153846153846	8	2.02239660752102e-28	gain	ch01	NTS
SL4.0ch01	5245171	5245221	51	*	1	CG	8	49	0.16326530612244897	33	44	0.75	4	3.984666549342121e-8	gain	ch01	NTS
SL4.0ch01	5294969	5295023	55	*	1	CG	7	49	0.14285714285714285	49	50	0.98	6	1.0553985404635954e-15	gain	ch01	NTS
SL4.0ch01	5323024	5323088	65	*	1	CG	2	37	0.05405405405405406	47	59	0.7966101694915254	4	1.4275924633278656e-11	gain	ch01	NTS
SL4.0ch01	5327946	5328022	77	*	1	CG	1	25	0.04	49	53	0.9245283018867924	4	4.2250549158014835e-13	gain	ch01	NTS
SL4.0ch01	5407129	5407243	115	*	-1	CG	91	101	0.900990099009901	16	88	0.18181818181818185	6	1.6090366586030735e-21	loss	ch01	NTS
SL4.0ch01	5454704	5454779	76	*	-1	CG	29	31	0.935483870967742	6	36	0.16666666666666666	4	1.7534158442458422e-9	loss	ch01	NTS
SL4.0ch01	5480263	5480332	70	*	-1	CG	49	50	0.98	4	32	0.125	4	4.8678458520830135e-14	loss	ch01	NTS
SL4.0ch01	5497534	5497686	153	*	-1	CG	41	45	0.9111111111111112	7	25	0.28	4	1.310472272596119e-7	loss	ch01	NTS
SL4.0ch01	5587865	5588068	204	*	1	CG	0	49	0	59	97	0.6082474226804123	8	1.530036730596698e-11	gain	ch01	NTS
SL4.0ch01	5677518	5677632	115	*	-1	CG	23	24	0.9583333333333334	2	27	0.07407407407407407	4	1.5307736642370423e-9	loss	ch01	NTS
SL4.0ch01	5709723	5709830	108	*	1	CG	3	22	0.13636363636363635	51	52	0.9807692307692308	4	1.0147141914088428e-12	gain	ch01	NTS
SL4.0ch01	5833299	5833484	186	*	1	CG	2	49	0.04081632653061224	66	74	0.8918918918918919	4	6.206038552037923e-19	gain	ch01	NTS
SL4.0ch01	5868602	5868708	107	*	-1	CG	12	15	0.8	0	34	0	4	7.962728286101871e-9	loss	ch01	NTS
SL4.0ch01	5933242	5933346	105	*	-1	CG	26	30	0.8666666666666667	3	77	0.03896103896103896	4	1.4431761947798826e-16	loss	ch01	NTS
SL4.0ch01	5946847	5947075	229	*	-1	CG	28	33	0.8484848484848485	2	47	0.0425531914893617	4	2.748009632614653e-12	loss	ch01	NTS
SL4.0ch01	5994894	5995054	161	*	-1	CG	47	58	0.8103448275862069	5	78	0.0641025641025641	6	2.6788404129043262e-17	loss	ch01	NTS
SL4.0ch01	6040364	6040549	186	*	-1	CG	34	36	0.9444444444444444	8	34	0.2352941176470588	4	6.051042004900524e-9	loss	ch01	NTS
SL4.0ch01	6051604	6051805	202	*	-1	CG	39	39	1	11	41	0.2682926829268293	4	1.0999350955220192e-10	loss	ch01	NTS
SL4.0ch01	6130351	6130430	80	*	-1	CG	25	25	1	0	43	0	4	3.539956593244021e-15	loss	ch01	NTS
SL4.0ch01	6161519	6161594	76	*	-1	CG	32	34	0.9411764705882352	10	51	0.19607843137254904	4	1.2935473993166583e-10	loss	ch01	NTS
SL4.0ch01	6163990	6164139	150	*	-1	CG	72	83	0.8674698795180723	2	77	0.02597402597402597	6	1.4458054494127458e-24	loss	ch01	NTS
SL4.0ch01	6246567	6246669	103	*	-1	CG	32	51	0.6274509803921569	0	76	0	6	2.590769484074969e-14	loss	ch01	NTS
SL4.0ch01	6251349	6251436	88	*	1	CG	0	25	0	30	49	0.6122448979591837	4	7.81022921803695e-7	gain	ch01	NTS
SL4.0ch01	6316302	6316446	145	*	1	CG	1	40	0.025	35	42	0.8333333333333334	4	2.067574743138155e-12	gain	ch01	NTS
SL4.0ch01	6352788	6352894	107	*	-1	CG	26	32	0.8125	7	66	0.10606060606060606	6	3.578093355978725e-11	loss	ch01	NTS
SL4.0ch01	6406905	6407090	186	*	-1	CG	85	91	0.934065934065934	8	101	0.07920792079207921	8	5.082781805100841e-30	loss	ch01	NTS
SL4.0ch01	6407362	6407464	103	*	-1	CG	44	52	0.8461538461538461	0	42	0	4	6.177315447026885e-15	loss	ch01	NTS
SL4.0ch01	6434199	6434251	53	*	-1	CG	30	38	0.7894736842105263	4	38	0.10526315789473684	4	8.057775835562615e-9	loss	ch01	NTS
SL4.0ch01	6438229	6438303	75	*	-1	CG	50	50	1	3	30	0.1	4	3.671440776681144e-15	loss	ch01	NTS
SL4.0ch01	6471581	6471692	112	*	-1	CG	21	37	0.5675675675675675	2	66	0.0303030303030303	7	1.7552618953557326e-9	loss	ch01	NTS
SL4.0ch01	6538506	6539076	571	*	-1	CG	102	106	0.9622641509433962	0	149	0	12	6.261320990275319e-51	loss	ch01	NTS
SL4.0ch01	6625648	6625750	103	*	-1	CG	29	31	0.935483870967742	0	44	0	4	5.3963469961060705e-15	loss	ch01	NTS
