chr	start	end	context	mR	reads_m	reads_n	sample
SL4.0ch00	1300000	1400000	CHG	42.7740536277603	4339	5805	a17_1
SL4.0ch00	1300000	1400000	CHH	6.87684501360451	6546	88643	a17_1
SL4.0ch00	1400000	1500000	CG	0	0	306	a17_1
SL4.0ch00	1400000	1500000	CHG	0	0	289	a17_1
SL4.0ch00	1400000	1500000	CHH	0.0680272108843537	2	2938	a17_1
SL4.0ch00	1500000	1600000	CG	46.6177791080515	6230	7134	a17_1
SL4.0ch00	1500000	1600000	CHG	23.9336809733922	1790	5689	a17_1
SL4.0ch00	1500000	1600000	CHH	5.01123965129667	1828	34650	a17_1
SL4.0ch00	1600000	1700000	CG	87.6407410364929	43901	6191	a17_1
SL4.0ch00	1600000	1700000	CHG	60.3222756283981	15311	10071	a17_1
SL4.0ch00	1600000	1700000	CHH	13.5505813201235	14662	93540	a17_1
SL4.0ch00	1700000	1800000	CG	88.9068690363261	15933	1988	a17_1
SL4.0ch00	1700000	1800000	CHG	70.3250670241287	12591	5313	a17_1
SL4.0ch00	1700000	1800000	CHH	11.1256045896871	9638	76991	a17_1
SL4.0ch00	1800000	1900000	CG	87.4794187128642	12220	1749	a17_1
SL4.0ch00	1800000	1900000	CHG	70.1736806947228	10505	4465	a17_1
SL4.0ch00	1800000	1900000	CHH	10.8015351062571	12778	105520	a17_1
SL4.0ch00	1900000	2000000	CG	86.3474997464246	8513	1346	a17_1
SL4.0ch00	1900000	2000000	CHG	70.7560948208067	6298	2603	a17_1
SL4.0ch00	1900000	2000000	CHH	10.8844216803869	7629	62462	a17_1
SL4.0ch00	2000000	2100000	CG	54.5349375289218	2357	1965	a17_1
SL4.0ch00	2000000	2100000	CHG	52.6288526288526	2032	1829	a17_1
SL4.0ch00	2000000	2100000	CHH	10.0299675860804	1640	14711	a17_1
SL4.0ch00	2100000	2200000	CG	75.6276202904184	136194	43891	a17_1
SL4.0ch00	2100000	2200000	CHG	53.6185587143933	38437	33249	a17_1
SL4.0ch00	2100000	2200000	CHH	6.18768800889502	23429	355210	a17_1
SL4.0ch00	2200000	2300000	CG	86.6350067842605	2554	394	a17_1
SL4.0ch00	2200000	2300000	CHG	73.3633433366678	13201	4793	a17_1
SL4.0ch00	2200000	2300000	CHH	11.437535855177	16149	125044	a17_1
SL4.0ch00	2300000	2400000	CG	87.6593673965937	9007	1268	a17_1
SL4.0ch00	2300000	2400000	CHG	65.7555610276615	8011	4172	a17_1
SL4.0ch00	2300000	2400000	CHH	9.49078992987597	8486	80927	a17_1
SL4.0ch00	2400000	2500000	CG	65.6169159824542	5834	3057	a17_1
SL4.0ch00	2400000	2500000	CHG	53.0277506871177	5981	5298	a17_1
SL4.0ch00	2400000	2500000	CHH	7.35559566787004	6031	75961	a17_1
SL4.0ch00	2500000	2600000	CG	51.3426905082356	8011	7592	a17_1
SL4.0ch00	2500000	2600000	CHG	26.5932792584009	2295	6335	a17_1
SL4.0ch00	2500000	2600000	CHH	4.65614072268729	2197	44988	a17_1
SL4.0ch00	2600000	2700000	CG	87.3696230145204	51265	7411	a17_1
SL4.0ch00	2600000	2700000	CHG	56.9283226929774	15694	11874	a17_1
SL4.0ch00	2600000	2700000	CHH	13.2701885450018	14921	97519	a17_1
SL4.0ch00	2700000	2800000	CG	85.1938040869755	11715	2036	a17_1
SL4.0ch00	2700000	2800000	CHG	56.9113924050633	5620	4255	a17_1
SL4.0ch00	2700000	2800000	CHH	10.2294058850776	8392	73646	a17_1
SL4.0ch00	2800000	2900000	CG	87.6699454921371	27986	3936	a17_1
SL4.0ch00	2800000	2900000	CHG	57.5171149803245	10670	7881	a17_1
SL4.0ch00	2800000	2900000	CHH	11.8390242379461	11376	84713	a17_1
SL4.0ch00	2900000	3000000	CG	86.0657587841396	22878	3704	a17_1
SL4.0ch00	2900000	3000000	CHG	59.9065711616319	9618	6437	a17_1
SL4.0ch00	2900000	3000000	CHH	11.8895890443471	10019	74248	a17_1
SL4.0ch00	3000000	3100000	CG	65.216134162209	4511	2406	a17_1
SL4.0ch00	3000000	3100000	CHG	57.0596351372068	3722	2801	a17_1
SL4.0ch00	3000000	3100000	CHH	10.1792091209907	3107	27416	a17_1
SL4.0ch00	3100000	3200000	CG	88.5565344077944	38902	5027	a17_1
SL4.0ch00	3100000	3200000	CHG	58.9060041012924	12352	8617	a17_1
SL4.0ch00	3100000	3200000	CHH	13.6712205941342	11588	73174	a17_1
SL4.0ch00	3200000	3300000	CG	84.3582065874794	42541	7888	a17_1
SL4.0ch00	3200000	3300000	CHG	38.5198342214328	9759	15576	a17_1
SL4.0ch00	3200000	3300000	CHH	10.6344608995027	9730	81765	a17_1
SL4.0ch00	3300000	3400000	CG	88.0886022915642	48358	6539	a17_1
SL4.0ch00	3300000	3400000	CHG	57.3678290213723	14790	10991	a17_1
SL4.0ch00	3300000	3400000	CHH	13.9465402541529	14004	86408	a17_1
SL4.0ch00	3400000	3500000	CG	88.4096115416484	72556	9512	a17_1
SL4.0ch00	3400000	3500000	CHG	56.414762741652	19902	15376	a17_1
SL4.0ch00	3400000	3500000	CHH	13.9465124937654	19853	122498	a17_1
SL4.0ch00	3500000	3600000	CG	87.219053051911	30579	4481	a17_1
SL4.0ch00	3500000	3600000	CHG	62.9166477195216	13836	8155	a17_1
SL4.0ch00	3500000	3600000	CHH	12.7922484417953	14100	96123	a17_1
SL4.0ch00	3600000	3700000	CG	76.6185279396078	37350	11398	a17_1
SL4.0ch00	3600000	3700000	CHG	62.4214085697681	23629	14225	a17_1
SL4.0ch00	3600000	3700000	CHH	8.83537674669016	18052	186263	a17_1
SL4.0ch00	3700000	3800000	CG	0.0589970501474926	6	10164	a17_1
SL4.0ch00	3700000	3800000	CHG	0.0964320154291225	7	7252	a17_1
SL4.0ch00	3700000	3800000	CHH	0.0841476655808903	31	36809	a17_1
SL4.0ch00	3800000	3900000	CG	77.6126335346029	3342	964	a17_1
SL4.0ch00	3800000	3900000	CHG	49.5221843003413	2902	2958	a17_1
SL4.0ch00	3800000	3900000	CHH	8.35401971145575	3399	37288	a17_1
SL4.0ch00	3900000	4000000	CG	89.2309365821821	8203	990	a17_1
SL4.0ch00	3900000	4000000	CHG	66.0581948669943	8468	4351	a17_1
SL4.0ch00	3900000	4000000	CHH	12.5498686055853	9217	64226	a17_1
SL4.0ch00	4000000	4100000	CG	85.7712082262211	6673	1107	a17_1
SL4.0ch00	4000000	4100000	CHG	63.2742032471437	4209	2443	a17_1
SL4.0ch00	4000000	4100000	CHH	8.54423164614683	5996	64180	a17_1
SL4.0ch00	4100000	4200000	CG	82.7502102607233	9839	2051	a17_1
SL4.0ch00	4100000	4200000	CHG	55.4477741209077	6402	5144	a17_1
SL4.0ch00	4100000	4200000	CHH	8.37257239860154	8286	90680	a17_1
SL4.0ch00	4200000	4300000	CG	82.2654542891379	11671	2516	a17_1
SL4.0ch00	4200000	4300000	CHG	52.8329872441412	7124	6360	a17_1
SL4.0ch00	4200000	4300000	CHH	7.8335495459535	10990	129304	a17_1
SL4.0ch00	4300000	4400000	CG	81.0486418193304	6415	1500	a17_1
SL4.0ch00	4300000	4400000	CHG	52.5288502635703	3687	3332	a17_1
SL4.0ch00	4300000	4400000	CHH	9.13256510298521	8052	80116	a17_1
SL4.0ch00	4400000	4500000	CG	7.43670886075949	47	585	a17_1
SL4.0ch00	4400000	4500000	CHG	3.97456279809221	25	604	a17_1
SL4.0ch00	4400000	4500000	CHH	2.08197787898504	96	4515	a17_1
SL4.0ch00	4500000	4600000	CG	86.5611945604835	9739	1512	a17_1
SL4.0ch00	4500000	4600000	CHG	68.3832631839564	8286	3831	a17_1
SL4.0ch00	4500000	4600000	CHH	10.4372704153716	11820	101428	a17_1
SL4.0ch00	4600000	4700000	CG	88.601189924564	47803	6150	a17_1
SL4.0ch00	4600000	4700000	CHG	61.933792778465	21029	12925	a17_1
SL4.0ch00	4600000	4700000	CHH	12.0730006382828	20428	148776	a17_1
SL4.0ch00	4700000	4800000	CG	88.5769989144161	39981	5156	a17_1
SL4.0ch00	4700000	4800000	CHG	56.5165138431407	12697	9769	a17_1
SL4.0ch00	4700000	4800000	CHH	11.6355032929004	13180	100094	a17_1
SL4.0ch00	4800000	4900000	CG	71.7122683142101	3250	1282	a17_1
SL4.0ch00	4800000	4900000	CHG	55.6499261447563	1507	1201	a17_1
SL4.0ch00	4800000	4900000	CHH	9.25452925452925	1558	15277	a17_1
SL4.0ch00	4900000	5000000	CG	73.0149812734082	7798	2882	a17_1
SL4.0ch00	4900000	5000000	CHG	47.5857817957674	2316	2551	a17_1
SL4.0ch00	4900000	5000000	CHH	7.67812323925626	1499	18024	a17_1
SL4.0ch00	5000000	5100000	CG	78.6677852348993	23443	6357	a17_1
SL4.0ch00	5000000	5100000	CHG	35.8731196860693	3291	5883	a17_1
SL4.0ch00	5000000	5100000	CHH	6.08110592301188	3308	51090	a17_1
SL4.0ch00	5100000	5200000	CG	71.4093357271095	7955	3185	a17_1
SL4.0ch00	5100000	5200000	CHG	45.9549492385787	2897	3407	a17_1
SL4.0ch00	5100000	5200000	CHH	10.490081085216	4114	35104	a17_1
SL4.0ch00	5200000	5300000	CG	78.6834094368341	41356	11204	a17_1
SL4.0ch00	5200000	5300000	CHG	64.4020244251293	23414	12942	a17_1
SL4.0ch00	5200000	5300000	CHH	10.0519749949232	18315	163888	a17_1
SL4.0ch00	5300000	5400000	CG	84.9651457541191	5363	949	a17_1
SL4.0ch00	5300000	5400000	CHG	61.3012922239855	2704	1707	a17_1
SL4.0ch00	5300000	5400000	CHH	11.3106839785301	3772	29577	a17_1
SL4.0ch00	5400000	5500000	CG	81.3292433537832	3977	913	a17_1
SL4.0ch00	5400000	5500000	CHG	59.5167064439141	1995	1357	a17_1
SL4.0ch00	5400000	5500000	CHH	10.326636797225	2858	24818	a17_1
SL4.0ch00	5500000	5600000	CG	84.9811134833306	10349	1829	a17_1
SL4.0ch00	5500000	5600000	CHG	62.1828981561688	5025	3056	a17_1
SL4.0ch00	5500000	5600000	CHH	10.6050690147549	3565	30051	a17_1
SL4.0ch00	5600000	5700000	CG	87.1017518380684	9596	1421	a17_1
SL4.0ch00	5600000	5700000	CHG	70.6652322036937	7882	3272	a17_1
SL4.0ch00	5600000	5700000	CHH	13.5515452619274	9274	59161	a17_1
SL4.0ch00	5700000	5800000	CG	83.1209105779716	24391	4953	a17_1
SL4.0ch00	5700000	5800000	CHG	57.8730120189389	14301	10410	a17_1
SL4.0ch00	5700000	5800000	CHH	7.54432081317356	16388	200835	a17_1
SL4.0ch00	5800000	5900000	CG	71.1000332336324	10697	4348	a17_1
SL4.0ch00	5800000	5900000	CHG	48.2404853833425	4373	4692	a17_1
SL4.0ch00	5800000	5900000	CHH	5.18178885765633	2249	41153	a17_1
SL4.0ch00	5900000	6000000	CG	83.3650391037836	3944	787	a17_1
SL4.0ch00	5900000	6000000	CHG	69.6454948301329	4715	2055	a17_1
SL4.0ch00	5900000	6000000	CHH	11.9958202716823	5166	37899	a17_1
SL4.0ch00	6000000	6100000	CG	87.957785303615	22336	3058	a17_1
SL4.0ch00	6000000	6100000	CHG	57.3274769828533	6787	5052	a17_1
SL4.0ch00	6000000	6100000	CHH	13.4213213326778	7098	45788	a17_1
SL4.0ch00	6100000	6200000	CG	87.2843027561971	55388	8069	a17_1
SL4.0ch00	6100000	6200000	CHG	59.8044541010321	18717	12580	a17_1
SL4.0ch00	6100000	6200000	CHH	13.194938263624	16329	107423	a17_1
SL4.0ch00	6200000	6300000	CG	77.1791502409111	7048	2084	a17_1
SL4.0ch00	6200000	6300000	CHG	58.0449710515686	4311	3116	a17_1
SL4.0ch00	6200000	6300000	CHH	8.74019237285927	3353	35010	a17_1
SL4.0ch00	6300000	6400000	CG	87.506066325155	16228	2317	a17_1
SL4.0ch00	6300000	6400000	CHG	53.8697788697789	5262	4506	a17_1
SL4.0ch00	6300000	6400000	CHH	8.6888819682342	5022	52776	a17_1
SL4.0ch00	6400000	6500000	CG	70.1298701298701	4374	1863	a17_1
SL4.0ch00	6400000	6500000	CHG	58.4786530366807	3890	2762	a17_1
SL4.0ch00	6400000	6500000	CHH	9.50612289927555	5170	49216	a17_1
SL4.0ch00	6500000	6600000	CG	77.6845599692871	68799	19763	a17_1
SL4.0ch00	6500000	6600000	CHG	51.3324708926261	15872	15048	a17_1
SL4.0ch00	6500000	6600000	CHH	6.93478135178368	14393	193155	a17_1
SL4.0ch00	6600000	6700000	CG	86.1319636507309	2180	351	a17_1
SL4.0ch00	6600000	6700000	CHG	65.0517875041764	1947	1046	a17_1
SL4.0ch00	6600000	6700000	CHH	10.5337965887555	2001	16995	a17_1
SL4.0ch00	6700000	6800000	CG	72.4913119026933	20025	7599	a17_1
SL4.0ch00	6700000	6800000	CHG	47.2286780759208	6706	7493	a17_1
SL4.0ch00	6700000	6800000	CHH	5.66533592793949	2824	47023	a17_1
SL4.0ch00	6800000	6900000	CG	87.8953328480142	65199	8979	a17_1
SL4.0ch00	6800000	6900000	CHG	58.3639178804909	20355	14521	a17_1
SL4.0ch00	6800000	6900000	CHH	13.8852795006095	20731	128571	a17_1
SL4.0ch00	6900000	7000000	CG	60.7490711918867	30250	19545	a17_1
SL4.0ch00	6900000	7000000	CHG	35.0526673462453	10316	19114	a17_1
SL4.0ch00	6900000	7000000	CHH	8.54147724233834	9582	102600	a17_1
SL4.0ch00	7000000	7100000	CG	24.8190347638519	18755	56812	a17_1
SL4.0ch00	7000000	7100000	CHG	9.83579503259345	5960	54635	a17_1
SL4.0ch00	7000000	7100000	CHH	2.07579185520362	5872	277008	a17_1
SL4.0ch00	7100000	7200000	CG	84.035735094193	8654	1644	a17_1
SL4.0ch00	7100000	7200000	CHG	63.3466466966217	7613	4405	a17_1
SL4.0ch00	7100000	7200000	CHH	8.99386754376453	7465	75536	a17_1
SL4.0ch00	7200000	7300000	CG	86.2740204641877	3457	550	a17_1
SL4.0ch00	7200000	7300000	CHG	56.8477587275356	2752	2089	a17_1
SL4.0ch00	7200000	7300000	CHH	8.78789441121881	3409	35383	a17_1
SL4.0ch00	7300000	7400000	CG	43.5232416121848	6058	7861	a17_1
SL4.0ch00	7300000	7400000	CHG	32.1595975763119	2813	5934	a17_1
SL4.0ch00	7300000	7400000	CHH	7.89289770245479	5421	63261	a17_1
SL4.0ch00	7400000	7500000	CG	86.0282665128353	14913	2422	a17_1
SL4.0ch00	7400000	7500000	CHG	67.2399035094545	8641	4210	a17_1
SL4.0ch00	7400000	7500000	CHH	12.9633142830041	10933	73405	a17_1
SL4.0ch00	7500000	7600000	CG	79.5558086560364	2794	718	a17_1
SL4.0ch00	7500000	7600000	CHG	61.9178082191781	2034	1251	a17_1
SL4.0ch00	7500000	7600000	CHH	11.0581395348837	2853	22947	a17_1
SL4.0ch00	7600000	7700000	CG	82.8924291142941	11343	2341	a17_1
SL4.0ch00	7600000	7700000	CHG	50.657513053568	5239	5103	a17_1
SL4.0ch00	7600000	7700000	CHH	7.65844448258802	7585	91456	a17_1
SL4.0ch00	7700000	7800000	CG	88.122555410691	20277	2733	a17_1
SL4.0ch00	7700000	7800000	CHG	67.0671418716946	11667	5729	a17_1
SL4.0ch00	7700000	7800000	CHH	12.6361561975287	11740	81168	a17_1
SL4.0ch00	7800000	7900000	CG	87.2279004447219	22360	3274	a17_1
SL4.0ch00	7800000	7900000	CHG	60.4749851101846	8123	5309	a17_1
SL4.0ch00	7800000	7900000	CHH	13.1952495405062	9333	61397	a17_1
SL4.0ch00	7900000	8000000	CG	79.2808311352748	73640	19245	a17_1
SL4.0ch00	7900000	8000000	CHG	52.1233939181081	17809	16358	a17_1
SL4.0ch00	7900000	8000000	CHH	6.01998339240067	11092	173161	a17_1
SL4.0ch00	8000000	8100000	CG	74.4158255954784	46082	15843	a17_1
SL4.0ch00	8000000	8100000	CHG	45.7637114212699	9312	11036	a17_1
SL4.0ch00	8000000	8100000	CHH	4.69878472222222	5413	109787	a17_1
SL4.0ch00	8100000	8200000	CG	77.1027828650556	17261	5126	a17_1
SL4.0ch00	8100000	8200000	CHG	62.8860083873427	9897	5841	a17_1
SL4.0ch00	8100000	8200000	CHH	8.78595963933019	8185	84975	a17_1
SL4.0ch00	8200000	8300000	CG	88.0489289544625	30376	4123	a17_1
SL4.0ch00	8200000	8300000	CHG	59.4019005030743	10627	7263	a17_1
SL4.0ch00	8200000	8300000	CHH	13.0692472103117	9967	66296	a17_1
SL4.0ch00	8300000	8400000	CG	83.594465602854	17340	3403	a17_1
SL4.0ch00	8300000	8400000	CHG	50.9686727122836	4946	4758	a17_1
SL4.0ch00	8300000	8400000	CHH	8.42450015432628	4913	53405	a17_1
SL4.0ch00	8400000	8500000	CG	80.1262288104803	77188	19145	a17_1
SL4.0ch00	8400000	8500000	CHG	49.1021528489699	14848	15391	a17_1
SL4.0ch00	8400000	8500000	CHH	7.00017834849296	11775	156435	a17_1
SL4.0ch00	8500000	8600000	CG	87.8874933190807	26310	3626	a17_1
SL4.0ch00	8500000	8600000	CHG	59.2041976388282	8124	5598	a17_1
SL4.0ch00	8500000	8600000	CHH	13.289686825054	7876	51388	a17_1
SL4.0ch00	8600000	8700000	CG	88.1899830600569	27592	3695	a17_1
SL4.0ch00	8600000	8700000	CHG	57.1070583321732	8204	6162	a17_1
SL4.0ch00	8600000	8700000	CHH	13.6391667808688	7962	50414	a17_1
SL4.0ch00	8700000	8800000	CG	88.7707437000615	14443	1827	a17_1
SL4.0ch00	8700000	8800000	CHG	54.5999187652315	5377	4471	a17_1
SL4.0ch00	8700000	8800000	CHH	11.40818102698	6554	50896	a17_1
SL4.0ch00	8800000	8900000	CG	80.9915834981373	17610	4133	a17_1
SL4.0ch00	8800000	8900000	CHG	52.975821450713	5127	4551	a17_1
SL4.0ch00	8800000	8900000	CHH	9.93452099083947	6084	55157	a17_1
SL4.0ch00	8900000	9000000	CG	85.4005167958656	12559	2147	a17_1
SL4.0ch00	8900000	9000000	CHG	64.6614710180224	5310	2902	a17_1
SL4.0ch00	8900000	9000000	CHH	12.7142333866708	6595	45276	a17_1
SL4.0ch00	9000000	9100000	CG	87.5094577553594	41637	5943	a17_1
SL4.0ch00	9000000	9100000	CHG	53.0964978584026	10537	9308	a17_1
SL4.0ch00	9000000	9100000	CHH	11.6640363542751	10421	78922	a17_1
SL4.0ch00	9100000	9200000	CG	89.1871697710413	83555	10130	a17_1
SL4.0ch00	9100000	9200000	CHG	54.4683707976925	21905	18311	a17_1
SL4.0ch00	9100000	9200000	CHH	13.3784192232129	21246	137562	a17_1
SL4.0ch00	9200000	9300000	CG	88.8128912589845	76610	9650	a17_1
SL4.0ch00	9200000	9300000	CHG	53.8345903636316	20771	17812	a17_1
SL4.0ch00	9200000	9300000	CHH	13.304452499643	19563	127478	a17_1
SL4.0ch00	9300000	9400000	CG	88.5708619777895	40197	5187	a17_1
SL4.0ch00	9300000	9400000	CHG	57.3579641121855	11923	8864	a17_1
SL4.0ch00	9300000	9400000	CHH	13.2267373656797	11275	73969	a17_1
SL4.0ch00	9400000	9500000	CG	88.8571526304987	51953	6515	a17_1
SL4.0ch00	9400000	9500000	CHG	57.8122124480106	15707	11462	a17_1
SL4.0ch00	9400000	9500000	CHH	13.0706610872007	13150	87457	a17_1
SL4.0ch00	9500000	9600000	CG	89.1807176826632	8251	1001	a17_1
SL4.0ch00	9500000	9600000	CHG	54.639684106614	2214	1838	a17_1
SL4.0ch00	9500000	9600000	CHH	14.0137707573917	2422	14861	a17_1
SL4.0ch00	9600000	9700000	CG	83.2758412006778	27521	5527	a17_1
SL4.0ch00	9600000	9700000	CHG	53.3114578450412	7961	6972	a17_1
SL4.0ch00	9600000	9700000	CHH	11.7815669557548	6412	48012	a17_1
SL4.0ch01	0	100000	CG	70.0810090795411	12890	5503	a17_1
SL4.0ch01	0	100000	CHG	14.0181235495635	2537	15561	a17_1
SL4.0ch01	0	100000	CHH	5.90106963939161	7845	125097	a17_1
SL4.0ch01	100000	200000	CG	59.2444444444444	9331	6419	a17_1
SL4.0ch01	100000	200000	CHG	12.6352912562325	2078	14368	a17_1
SL4.0ch01	100000	200000	CHH	4.75609583114654	6706	134292	a17_1
SL4.0ch01	200000	300000	CG	63.8162544169611	11739	6656	a17_1
SL4.0ch01	200000	300000	CHG	15.2052284992821	3071	17126	a17_1
SL4.0ch01	200000	300000	CHH	5.47002770831925	8094	139876	a17_1
SL4.0ch01	300000	400000	CG	60.9531577720811	10462	6702	a17_1
SL4.0ch01	300000	400000	CHG	13.3457150437782	2515	16330	a17_1
SL4.0ch01	300000	400000	CHH	6.0572183903197	8615	133612	a17_1
SL4.0ch01	400000	500000	CG	72.9294923916831	12557	4661	a17_1
SL4.0ch01	400000	500000	CHG	15.8539820661113	2988	15859	a17_1
SL4.0ch01	400000	500000	CHH	5.23658548641072	7416	134203	a17_1
SL4.0ch01	500000	600000	CG	77.6944876131273	16998	4880	a17_1
SL4.0ch01	500000	600000	CHG	21.4362368091576	4794	17570	a17_1
SL4.0ch01	500000	600000	CHH	5.59929339434994	8051	135735	a17_1
SL4.0ch01	600000	700000	CG	80.8702833840913	15667	3706	a17_1
SL4.0ch01	600000	700000	CHG	19.1597311851885	4305	18164	a17_1
SL4.0ch01	600000	700000	CHH	5.46224070801164	8221	142285	a17_1
SL4.0ch01	700000	800000	CG	84.142647777235	17224	3246	a17_1
SL4.0ch01	700000	800000	CHG	31.4210526315789	6567	14333	a17_1
SL4.0ch01	700000	800000	CHH	5.75688899243852	8154	133485	a17_1
SL4.0ch01	800000	900000	CG	71.8781470292044	14275	5585	a17_1
SL4.0ch01	800000	900000	CHG	10.3242542153048	2388	20742	a17_1
SL4.0ch01	800000	900000	CHH	3.79601047267663	5669	143672	a17_1
SL4.0ch01	900000	1000000	CG	85.843042426907	15620	2576	a17_1
SL4.0ch01	900000	1000000	CHG	15.7699735918963	4001	21370	a17_1
SL4.0ch01	900000	1000000	CHH	4.77965716558022	6731	134095	a17_1
SL4.0ch01	1000000	1100000	CG	74.4639690472352	13857	4752	a17_1
SL4.0ch01	1000000	1100000	CHG	18.2474795606159	3638	16299	a17_1
SL4.0ch01	1000000	1100000	CHH	5.36519083558677	7976	140686	a17_1
SL4.0ch01	1100000	1200000	CG	81.3291680931188	19005	4363	a17_1
SL4.0ch01	1100000	1200000	CHG	46.9339745935491	8978	10151	a17_1
SL4.0ch01	1100000	1200000	CHH	8.40850908204315	13795	150265	a17_1
SL4.0ch01	1200000	1300000	CG	76.5079534536138	14333	4401	a17_1
SL4.0ch01	1200000	1300000	CHG	13.0388253927486	3046	20315	a17_1
SL4.0ch01	1200000	1300000	CHH	4.76501305483029	6570	131310	a17_1
SL4.0ch01	1300000	1400000	CG	72.3651413253069	15387	5876	a17_1
SL4.0ch01	1300000	1400000	CHG	24.1084165477889	4394	13832	a17_1
SL4.0ch01	1300000	1400000	CHH	7.42008881865338	10142	126541	a17_1
SL4.0ch01	1400000	1500000	CG	76.5421460793755	15101	4628	a17_1
SL4.0ch01	1400000	1500000	CHG	13.4306502539697	2935	18918	a17_1
SL4.0ch01	1400000	1500000	CHH	4.79288610367662	6608	131263	a17_1
SL4.0ch01	1500000	1600000	CG	67.5784892757227	13044	6258	a17_1
SL4.0ch01	1500000	1600000	CHG	14.0057204482581	2987	18340	a17_1
SL4.0ch01	1500000	1600000	CHH	4.58035197651608	6491	135223	a17_1
SL4.0ch01	1600000	1700000	CG	76.3151911971991	16784	5209	a17_1
SL4.0ch01	1600000	1700000	CHG	27.7579708668636	5450	14184	a17_1
SL4.0ch01	1600000	1700000	CHH	7.67081411191878	11091	133496	a17_1
